Food Item,Energy (kcal),Protein (g),Fat (g),CHO (g),Fiber (g),Sugars (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg)
"Cabbage, violet",97,1.39,0.21,3.54,2.21,0.8,24.0,48.0,0.24,43.49
Cauliflower leaves,148,3.9,0.42,3.39,3.43,0.61,24.31,96.7,2.42,52.84
"Colocasia leaves, green",182,3.42,1.38,3.69,5.6,0.63,12.08,216.0,3.41,40.71
Drumstick leaves,282,6.41,1.64,5.62,8.21,0.02,9.34,314.0,4.56,108.0
Fenugreek leaves,144,3.68,0.83,2.17,4.9,0.88,47.01,274.0,5.69,58.25
Garden cress,208,5.62,0.8,4.48,2.6,0.92,25.35,217.0,6.19,42.75
"Gogu leaves, green",152,1.86,1.09,4.06,4.59,0.01,12.34,145.0,7.65,29.65
"Gogu leaves, red",153,1.85,1.07,4.24,3.89,0.01,14.08,129.0,9.56,35.43
"Knol-Khol, leaves",178,3.12,0.35,6.16,2.76,0.1,26.8,368.0,2.51,71.11
Lettuce,91,1.54,0.27,3.01,1.79,0.22,17.53,56.71,2.73,11.91
Mustard leaves,127,3.52,0.51,2.41,3.92,0.04,19.14,191.0,2.84,60.32
Pak Choi leaves,67,1.41,0.25,1.78,1.91,0.52,33.73,150.0,3.78,55.6
Parsley,305,5.55,1.14,9.43,3.87,0.69,53.08,288.0,5.51,133.0
Ponnaganni,213,5.29,0.71,5.17,6.74,0.44,39.36,388.0,3.88,103.0
"Pumpkin leaves, tender",185,4.21,0.74,4.75,2.25,0.1,12.2,271.0,5.58,12.33
Radish leaves,109,2.22,0.51,2.77,1.82,0.29,17.39,234.0,3.82,65.76
Rumex leaves,82,1.62,0.33,2.33,1.27,0.45,19.95,131.0,3.67,53.76
Spinach,102,2.14,0.64,2.05,2.38,0.24,42.55,82.29,2.95,30.28
"Tamarind leaves, tender",299,5.84,0.49,10.04,10.7,0.17,13.43,66.93,2.84,28.22
Ash gourd,73,0.79,0.14,2.84,3.37,0.19,0.77,19.39,0.47,11.41
"Bamboo shoot, tender",68,1.33,0.35,1.67,1.55,0.09,1.12,10.0,0.33,15.74
"Bean scarlet, tender",179,2.86,0.99,5.16,4.5,1.03,1.46,43.48,0.73,6.61
"Bitter gourd, jagged, teeth ridges, elongate",87,1.44,0.24,2.82,3.78,0.04,13.09,21.36,1.15,46.53
"Bitter gourd, jagged, teeth ridges, short",79,1.34,0.24,2.53,3.49,0.06,12.59,16.27,1.08,50.87
"Bitter gourd, jagged, smooth ridges, elongate",81,1.61,0.26,2.29,3.72,0.08,11.16,17.62,1.28,54.3
"Bottle gourd, elongate, pale green",46,0.53,0.13,1.68,2.12,0.36,1.46,15.42,0.26,4.33
"Bottle gourd, round, pale green",57,0.42,0.12,2.53,2.1,0.34,1.52,15.05,0.28,4.54
"Bottle gourd, elongate, dark green",54,0.49,0.13,2.25,2.11,0.39,1.35,16.64,0.34,3.8
Brinjal-1,114,1.77,0.39,3.49,3.57,0.88,3.15,22.17,0.49,1.58
Brinjal-2,99,1.82,0.34,2.71,4.01,0.98,3.92,17.13,0.44,1.03
Brinjal-3,102,1.36,0.33,3.38,4.26,0.93,3.12,14.58,0.34,2.34
Brinjal-4,100,1.51,0.31,3.19,4.04,0.86,3.31,13.39,0.38,2.22
Brinjal-5,111,1.38,0.29,4.02,4.13,0.99,4.03,17.03,0.36,3.15
Brinjal-6,97,1.46,0.29,3.29,3.68,1.0,3.75,17.17,0.39,1.49
Brinjal-7,98,1.4,0.37,3.1,3.32,1.38,3.45,19.95,0.27,1.08
Brinjal-8,117,1.82,0.33,3.75,4.01,0.79,4.73,21.0,0.42,1.89
Brinjal-9,106,1.47,0.35,3.52,4.0,0.91,3.08,18.79,0.38,1.72
Brinjal-10,116,1.68,0.25,4.08,3.9,0.86,4.35,15.59,0.41,2.4
Brinjal-11,105,1.43,0.31,3.53,4.12,1.05,3.47,15.92,0.37,2.24
Brinjal-12,93,1.6,0.27,2.73,3.89,1.22,3.88,19.85,0.37,2.55
Brinjal-13,124,1.49,0.31,4.51,3.92,1.15,3.0,18.95,0.32,1.49
Brinjal-14,106,1.56,0.35,3.27,3.87,0.88,3.71,14.43,0.32,1.83
Brinjal-15,114,1.58,0.29,3.96,3.99,0.82,3.34,17.82,0.36,2.01
Brinjal-16,103,1.26,0.34,3.46,3.74,0.99,3.22,18.33,0.32,1.53
Brinjal-17,91,1.18,0.36,2.89,3.94,0.85,3.09,20.83,0.5,1.95
Brinjal-18,116,1.47,0.33,4.1,4.38,1.44,3.63,16.24,0.38,1.97
Brinjal-19,100,1.26,0.31,3.39,3.97,0.96,3.11,16.1,0.32,2.53
Brinjal-20,99,1.44,0.34,3.15,3.73,0.76,3.58,14.36,0.33,2.21
Brinjal-21,113,1.36,0.35,3.93,3.85,0.93,3.06,15.27,0.34,1.38
Brinjal - all varieties,106,1.48,0.32,3.52,3.98,0.97,3.55,16.59,0.37,2.09
Broad beans,123,3.85,0.15,2.11,8.63,1.22,20.74,64.37,0.94,10.98
"Capsicum, green",68,1.11,0.34,1.84,2.06,0.86,1.84,14.75,0.48,123.0
"Capsicum, red",83,1.47,0.47,2.14,2.19,0.93,1.7,15.76,0.38,112.0
"Capsicum, yellow",78,1.35,0.41,1.95,2.19,0.97,1.56,19.13,0.69,127.0
Cauliflower,96,2.15,0.44,2.03,3.71,0.47,30.72,25.16,0.96,47.14
