Food Item,Energy (kcal),Protein (g),Fat (g),CHO (g),Fiber (g),Sugars (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg)
Mace,1488,6.24,24.41,26.51,20.31,0.85,27.17,174.0,22.69,0.0
Nutmeg,1940,6.3,36.52,27.64,11.99,1.08,14.31,148.0,2.33,0.0
Omum,1495,15.89,21.11,24.53,20.58,2.76,28.58,1034.0,13.65,0.0
Pippali,906,10.53,2.27,35.7,34.14,2.75,16.28,414.0,7.99,0.0
"Pepper, black",910,10.12,2.74,36.22,33.16,0.32,24.08,405.0,11.91,0.0
Poppy seeds,1768,20.31,30.38,12.37,26.68,1.85,25.35,1372.0,10.13,0.0
Turmeric powder,1174,7.66,5.03,49.22,21.38,1.23,24.41,122.0,46.08,0.0
Almond,2549,18.41,58.49,3.04,13.06,2.23,1.5,228.0,4.59,0.74
"Arecanut, dried, brown",1467,5.78,4.35,70.42,11.44,1.76,12.06,61.0,2.74,0.0
"Arecanut, dried, red color",1477,6.46,4.46,70.27,11.11,1.79,17.13,51.0,3.26,0.0
"Arecanut, fresh",1024,2.73,5.51,45.0,7.63,4.72,5.53,34.03,1.04,0.0
Cashew nut,2438,18.78,45.2,25.46,3.86,3.11,9.0,34.0,5.95,0.0
"Coconut, kernal, dry",2611,7.27,63.26,8.01,15.88,6.93,16.68,32.0,3.13,0.0
"Coconut, kernel, fresh",1711,3.84,41.38,6.3,10.42,6.2,8.12,8.0,1.3,0.8
"Garden cress, seeds",1863,23.36,23.74,33.66,8.27,0.91,21.84,318.0,17.2,0.0
"Gingelly seeds, black",2124,19.17,43.1,10.29,17.16,0.99,15.91,1664.0,13.9,0.0
"Gingelly seeds, brown",2161,21.61,43.22,9.76,17.21,1.39,11.94,1174.0,14.95,0.0
"Gingelly seeds, white",2174,21.7,43.05,10.83,16.99,0.67,15.43,1283.0,15.04,0.0
Ground nut,2176,23.65,39.63,17.27,10.38,4.42,12.21,54.0,3.44,0.0
Mustard seeds,2132,19.51,40.19,16.8,14.1,5.07,3.97,402.0,13.49,0.0
Linseeds,1857,18.55,35.67,10.99,26.17,0.6,32.93,257.0,5.44,0.0
"Niger seeds, black",2144,18.92,38.61,22.98,10.93,1.75,10.7,572.0,18.19,0.0
"Niger seeds, gray",2128,18.34,39.53,20.59,10.96,0.41,8.08,375.0,19.61,0.0
Pine seed,2486,12.55,48.79,26.77,3.79,4.67,1.31,17.0,4.5,0.0
Pistachio nuts,2257,23.35,42.49,15.82,10.64,7.9,6.93,135.0,4.5,0.0
Safflower seeds,1981,17.66,30.87,30.18,13.49,2.67,3.05,211.0,4.06,0.0
Sunflower seeds,2453,23.53,51.85,6.85,10.8,2.81,1.9,176.0,5.85,0.0
Walnut,2809,14.92,64.27,10.14,5.39,3.22,1.33,105.0,3.21,0.88
"Jaggery, cane",1480,1.85,0.16,84.87,0.0,84.32,25.38,107.0,4.63,0.0
"Sugarcane, juice",242,0.16,0.4,13.11,0.56,12.85,1.16,18.0,1.12,6.73
"Button mushroom, fresh",115,3.68,0.42,1.98,3.11,0.1,7.72,18.38,0.29,0.0
"Chicken mushroom, fresh",89,1.84,0.25,2.76,1.99,0.1,10.22,4.83,0.3,0.45
"Shiitake mushroom, fresh",243,3.19,0.76,8.98,3.02,0.2,9.3,5.3,1.93,0.0
"Oyster mushroom, dried",1019,19.04,2.86,33.07,39.12,0.68,8.67,23.61,3.58,0.0
Toddy,101,0.18,0.03,5.72,0.0,5.73,1.64,0.44,0.42,0.92
Coconut Water,64,0.26,0.16,3.16,0.0,3.06,28.09,27.47,0.06,0.64
"Milk, whole, Buffalo",449,3.68,6.58,8.39,0.0,5.34,30.1,121.0,0.16,2.37
"Milk, whole, Cow",305,3.26,4.48,4.94,0.0,4.89,25.46,118.0,0.15,2.01
Panner,1079,18.86,14.78,12.41,0.0,11.57,18.04,476.0,0.9,0.0
Khoa,1322,16.34,20.62,16.53,0.0,16.14,48.1,602.0,2.32,0.0
"Egg, poultry, whole, raw",564,13.28,9.15,0.0,0.0,0.0,123.0,49.44,1.82,0.0
"Egg, poultry, white, raw",187,10.84,0.06,0.0,0.0,0.0,166.0,5.64,0.07,0.0
"Egg, poultry, yolk, raw",1242,15.74,26.34,0.0,0.0,0.0,46.33,116.0,3.17,0.0
"Egg, poultry, whole, boiled",618,13.43,10.54,0.0,0.0,0.0,121.0,55.12,1.87,0.0
"Egg, poultry, white, boiled",220,12.37,0.26,0.0,0.0,0.0,144.0,8.07,0.15,0.0
"Egg, poultry, yolk, boiled",1290,16.13,27.46,0.0,0.0,0.0,44.83,120.0,4.92,0.0
"Egg, poultry, omlet",710,16.53,11.6,0.0,0.0,0.0,169.0,53.26,2.16,0.0
"Egg, country hen, whole, raw",704,13.14,13.0,0.0,0.0,0.0,157.0,50.14,1.64,0.0
"Egg, country hen, whole, boiled",767,14.43,14.1,0.0,0.0,0.0,149.0,57.79,1.73,0.0
"Egg, country hen, omlet",855,14.8,16.3,0.0,0.0,0.0,157.0,55.88,2.15,0.0
"Egg, duck, whole, boiled",738,13.8,13.61,0.0,0.0,0.0,110.0,56.12,2.61,0.0
"Egg, duck, whole, raw",760,14.6,13.83,0.0,0.0,0.0,113.0,52.46,2.46,0.0
"Egg, duck, whole, omlet",804,15.1,14.8,0.0,0.0,0.0,175.0,71.79,3.28,0.0
"Egg, quial, whole, raw",635,12.39,11.46,0.0,0.0,0.0,132.0,60.67,2.55,0.0
"Egg, quial, whole, boiled",647,13.03,11.5,0.0,0.0,0.0,130.0,61.35,2.63,0.0
"Chicken, poultry, leg, skinless",1605,19.44,12.64,0.0,0.0,0.0,65.07,20.52,1.27,0.0
"Chicken, poultry, thigh, skinless",836,18.18,14.23,0.0,0.0,0.0,64.59,18.37,1.11,0.0
"Chicken, poultry, breast, skinless",704,21.81,9.0,0.0,0.0,0.0,36.7,12.91,0.83,0.0
"Chicken, poultry, wing, skinless",807,17.42,13.81,0.0,0.0,0.0,72.78,28.13,1.38,0.0
"Poultry, chicken, liver",518,21.57,4.08,0.0,0.0,0.0,61.58,4.1,9.92,0.0
"Poultry, chicken, gizzard",386,18.22,2.07,0.0,0.0,0.0,50.6,5.46,3.19,0.0
"Country hen, leg, with skin",723,17.01,11.73,0.0,0.0,0.0,50.46,22.56,1.66,0.0
"Country hen, thigh, with skin",785,18.29,12.82,0.0,0.0,0.0,51.14,20.12,1.4,0.0
"Country hen, breast, with skin",753,22.08,10.2,0.0,0.0,0.0,23.13,12.49,1.09,0.0
"Country hen, wing, with skin",764,18.65,12.09,0.0,0.0,0.0,54.15,35.46,1.45,0.0
"Duck, meat, with skin",547,19.07,6.03,0.0,0.0,0.0,82.25,22.77,4.26,0.0
"Emu, meat, skinless",556,22.65,4.62,0.0,0.0,0.0,48.48,7.4,3.95,0.0
"Guinea fowl, meat, with skin",469,20.52,3.24,0.0,0.0,0.0,57.64,30.77,2.2,0.0
"Pigeon, meat, with skin",528,17.94,6.03,0.0,0.0,0.0,56.1,18.11,3.81,0.0
"Quail, meat, skinless",576,20.92,5.95,0.0,0.0,0.0,56.21,20.6,1.9,0.0
"Turkey, leg, with skin",647,20.3,8.15,0.0,0.0,0.0,66.47,20.44,2.01,0.0
"Turkey, thigh, with skin",581,20.46,6.31,0.0,0.0,0.0,50.01,23.52,1.58,0.0
"Turkey, breast, with skin",671,21.96,8.04,0.0,0.0,0.0,40.45,14.35,1.01,0.0
"Turkey, wing, with skin",771,21.91,10.77,0.0,0.0,0.0,57.0,33.49,1.0,0.0
"Goat, shoulder, meat",787,20.33,11.94,0.0,0.0,0.0,47.31,6.18,1.48,0.0
"Goat, chops",568,20.39,5.98,0.0,0.0,0.0,45.72,7.44,1.87,0.0
"Goat, legs",669,22.07,7.94,0.0,0.0,0.0,42.77,5.76,1.77,0.0
"Goat, brain",533,13.82,8.06,0.0,0.0,0.0,132.0,10.61,1.63,0.0
"Goat, tongue",789,16.63,13.68,0.0,0.0,0.0,118.0,7.11,2.09,0.0
"Goat, lungs",401,16.86,3.09,0.0,0.0,0.0,85.72,10.44,7.1,0.0
"Goat, heart",492,19.38,4.4,0.0,0.0,0.0,73.21,5.71,3.38,0.0
"Goat, liver",526,20.32,4.88,0.0,0.0,0.0,55.41,6.09,6.56,0.0
"Goat, tripe",386,15.36,3.36,0.0,0.0,0.0,22.38,20.87,0.81,0.0
"Goat, spleen",401,18.45,2.37,0.0,0.0,0.0,52.4,8.35,51.41,0.0
"Goat, kidneys",374,15.6,2.93,0.0,0.0,0.0,184.0,12.37,6.73,0.0
"Goat, tube (small intestine)",525,12.92,8.26,0.0,0.0,0.0,7.46,27.52,2.21,0.0
"Goat, testis",298,12.32,2.39,0.0,0.0,0.0,92.61,5.95,1.43,0.0
"Sheep, shoulder",840,18.24,14.31,0.0,0.0,0.0,45.65,5.46,1.63,0.0
"Sheep, chops",496,18.0,5.15,0.0,0.0,0.0,45.26,7.98,2.24,0.0
"Sheep, leg",686,21.42,8.69,0.0,0.0,0.0,49.3,6.87,1.54,0.0
"Sheep, brain",492,13.05,7.29,0.0,0.0,0.0,122.0,10.27,1.93,0.0
"Sheep, tongue",783,16.61,13.53,0.0,0.0,0.0,185.0,8.05,2.46,0.0
"Sheep, lungs",363,16.12,2.41,0.0,0.0,0.0,109.0,7.74,8.58,0.0
"Sheep, heart",445,18.19,3.66,0.0,0.0,0.0,72.62,6.79,3.07,0.0
"Sheep, liver",559,22.26,4.87,0.0,0.0,0.0,55.82,5.92,6.15,0.0
"Sheep, tripe",435,16.76,4.05,0.0,0.0,0.0,18.37,14.85,0.9,0.0
"Sheep, spleen",384,16.02,3.02,0.0,0.0,0.0,50.58,11.49,53.11,0.0
"Sheep, kidneys",384,16.22,2.92,0.0,0.0,0.0,163.0,14.15,6.11,0.0
"Beef, shoulder",889,20.56,14.59,0.0,0.0,0.0,45.59,6.5,2.22,0.0
"Beef, chops",585,19.82,6.71,0.0,0.0,0.0,32.47,4.64,1.95,0.0
"Beef, round (leg)",658,22.64,7.38,0.0,0.0,0.0,38.96,5.86,2.3,0.0
"Beef, brain",523,10.55,9.28,0.0,0.0,0.0,127.0,11.38,2.15,0.0
"Beef, tongue",731,15.63,12.57,0.0,0.0,0.0,89.88,9.49,2.17,0.0
"Beef, lungs",351,15.66,2.28,0.0,0.0,0.0,109.0,9.31,6.85,0.0
"Beef, heart",433,17.68,3.57,0.0,0.0,0.0,70.52,6.16,3.62,0.0
"Beef, liver",499,20.73,3.96,0.0,0.0,0.0,50.14,5.46,14.82,0.0
"Beef, tripe",316,13.1,2.51,0.0,0.0,0.0,41.0,15.3,0.84,0.0
"Beef, spleen",378,17.42,2.22,0.0,0.0,0.0,58.94,9.4,31.68,0.0
"Beef, kidneys",439,17.09,4.01,0.0,0.0,0.0,160.0,15.31,4.71,0.0
"Calf, shoulder",633,20.98,7.47,0.0,0.0,0.0,77.0,8.39,1.31,0.0
"Calf, chops",524,22.47,3.85,0.0,0.0,0.0,64.94,9.27,1.2,0.0
"Calf, round (leg)",615,21.1,6.92,0.0,0.0,0.0,67.04,10.03,2.4,0.0
"Calf, brain",448,9.84,7.6,0.0,0.0,0.0,115.0,10.53,1.44,0.0
"Calf, tongue",737,17.78,11.76,0.0,0.0,0.0,91.64,9.08,2.63,0.0
"Calf, heart",459,18.84,3.75,0.0,0.0,0.0,58.0,6.48,4.66,0.0
"Calf, liver",503,21.02,3.95,0.0,0.0,0.0,54.99,5.19,16.26,0.0
"Calf, spleen",379,17.71,2.12,0.0,0.0,0.0,67.87,10.56,25.42,0.0
"Calf, kidneys",387,15.16,3.5,0.0,0.0,0.0,174.0,12.63,4.92,0.0
"Mithun, shoulder",736,19.05,11.14,0.0,0.0,0.0,32.94,4.27,2.05,0.0
"Mithun, chops",536,18.19,6.12,0.0,0.0,0.0,42.17,4.88,2.25,0.0
"Mithun, round (leg)",485,19.61,4.1,0.0,0.0,0.0,28.42,5.32,2.18,0.0
"Pork, shoulder",993,17.41,18.83,0.0,0.0,0.0,54.47,9.95,0.91,0.0
"Pork, chops",748,19.41,11.3,0.0,0.0,0.0,43.7,8.12,1.0,0.0
"Pork, ham",1006,18.83,18.55,0.0,0.0,0.0,40.44,7.4,1.27,0.0
"Pork, lungs",358,15.13,2.74,0.0,0.0,0.0,61.41,10.3,6.76,0.0
"Pork, heart",457,16.31,4.87,0.0,0.0,0.0,70.52,4.74,3.97,0.0
"Pork, liver",484,19.89,3.94,0.0,0.0,0.0,64.89,5.52,20.74,0.0
"Pork, stomach",550,15.36,7.81,0.0,0.0,0.0,109.0,11.75,1.92,0.0
"Pork, spleen",357,15.13,2.71,0.0,0.0,0.0,49.14,6.98,27.21,0.0
"Pork, kidneys",379,14.35,3.65,0.0,0.0,0.0,138.0,6.71,6.26,0.0
"Pork, tube (small intestine)",587,14.96,8.98,0.0,0.0,0.0,60.17,16.05,2.83,0.0
"Hare, shoulder",603,21.13,6.58,0.0,0.0,0.0,55.03,57.51,2.98,0.0
"Hare, chops",445,20.62,2.55,0.0,0.0,0.0,48.61,38.36,2.78,0.0
"Hare, leg",503,20.52,4.16,0.0,0.0,0.0,42.48,53.02,2.46,0.0
"Rabbit, shoulder",635,20.01,7.96,0.0,0.0,0.0,61.38,46.37,1.74,0.0
"Rabbit, chops",565,22.61,4.88,0.0,0.0,0.0,47.84,25.48,2.42,0.0
"Rabbit, leg",584,21.31,5.99,0.0,0.0,0.0,46.03,22.31,1.21,0.0
Allathi,406,21.77,0.98,0.0,0.0,0.0,32.68,13.78,0.62,0.0
Aluva,434,21.63,1.8,0.0,0.0,0.0,44.86,11.32,0.42,0.0
Anchovy,367,19.88,0.78,0.0,0.0,0.0,212.0,36.6,0.54,0.0
Ari fish,415,22.01,1.11,0.0,0.0,0.0,37.35,4.36,0.47,0.0
Betki,284,15.28,0.29,0.0,0.0,0.0,63.68,8.84,0.31,0.0
Black snapper,377,19.5,1.24,0.0,0.0,0.0,41.23,9.91,0.56,0.0
Bombay duck,287,13.53,1.03,0.0,0.0,0.0,223.0,159.0,0.81,0.0
Bommuralu,485,22.3,2.87,0.0,0.0,0.0,61.87,47.33,0.43,0.0
Cat fish,456,22.18,2.13,0.0,0.0,0.0,35.82,5.54,0.72,0.0
Chakla,406,20.21,1.68,0.0,0.0,0.0,51.41,6.55,0.41,0.0
Chappal,317,17.17,0.67,0.0,0.0,0.0,38.12,10.22,1.29,0.0
Chelu,366,20.02,0.7,0.0,0.0,0.0,37.6,8.17,0.67,0.0
Chembali,406,20.06,1.77,0.0,0.0,0.0,38.98,23.72,0.31,0.0
Eri meen,454,22.3,2.02,0.0,0.0,0.0,41.19,12.45,0.46,0.0
Gobro,362,19.37,0.88,0.0,0.0,0.0,52.68,24.18,0.36,0.0
Guitar fish,400,22.56,0.44,0.0,0.0,0.0,70.81,17.32,0.44,0.0
Hilsa,1083,21.8,18.49,0.0,0.0,0.0,80.88,19.82,1.19,0.0
Jallal,420,21.55,1.46,0.0,0.0,0.0,74.33,14.73,0.46,0.0
Jathi vela meen,453,22.45,1.92,0.0,0.0,0.0,30.53,6.65,0.28,0.0
Kadal bral,368,18.72,1.34,0.0,0.0,0.0,53.66,73.92,0.31,0.0
Kadali,530,22.07,4.2,0.0,0.0,0.0,36.06,8.62,0.38,0.0
Kalamaara,523,20.89,4.54,0.0,0.0,0.0,29.33,7.54,0.5,0.0
Kalava,374,19.38,1.2,0.0,0.0,0.0,40.14,10.66,0.26,0.0
Kanamayya,367,20.19,0.65,0.0,0.0,0.0,50.53,7.72,0.36,0.0
Kannadi paarai,423,22.09,1.27,0.0,0.0,0.0,59.57,9.04,0.31,0.0
Karimeen,386,19.68,1.38,0.0,0.0,0.0,23.72,11.73,0.6,0.0
Karnagawala,363,19.52,0.84,0.0,0.0,0.0,63.27,60.03,0.44,0.0
Kayrai,454,20.15,3.0,0.0,0.0,0.0,25.12,6.0,0.98,0.0
Kiriyan,556,22.49,4.7,0.0,0.0,0.0,35.88,19.42,1.0,0.0
Kite fish,413,23.07,0.56,0.0,0.0,0.0,59.03,11.02,1.38,0.0
Korka,528,23.72,3.36,0.0,0.0,0.0,43.3,11.12,0.73,0.0
Kulam paarai,501,21.62,3.6,0.0,0.0,0.0,49.17,15.17,0.5,0.0
Maagaa,366,20.11,0.67,0.0,0.0,0.0,52.28,8.42,0.23,0.0
Mackerel,423,21.51,1.53,0.0,0.0,0.0,83.01,31.27,1.46,0.0
Manda clathi,398,21.27,1.0,0.0,0.0,0.0,58.5,11.48,0.43,0.0
Matha,389,21.17,0.79,0.0,0.0,0.0,62.58,14.02,0.32,0.0
Milk fish,442,23.66,1.09,0.0,0.0,0.0,42.98,29.18,1.35,0.0
Moon fish,526,20.74,4.69,0.0,0.0,0.0,65.17,29.18,1.67,0.0
Mullet,393,20.23,1.32,0.0,0.0,0.0,66.09,35.2,1.31,0.0
Mural,345,19.04,0.58,0.0,0.0,0.0,110.0,8.61,0.24,0.0
Myil meen,410,22.89,0.56,0.0,0.0,0.0,61.96,7.2,1.2,0.0
Nalla bontha,364,19.82,0.72,0.0,0.0,0.0,57.87,9.04,0.31,0.0
Narba,432,21.95,1.6,0.0,0.0,0.0,49.51,7.21,1.11,0.0
Paarai,435,21.58,1.84,0.0,0.0,0.0,45.22,13.52,0.69,0.0
Padayappa,360,19.7,0.69,0.0,0.0,0.0,33.87,9.83,0.33,0.0
Pali kora,394,19.25,1.81,0.0,0.0,0.0,54.85,17.03,0.42,0.0
Pambada,537,21.95,4.44,0.0,0.0,0.0,82.65,16.53,0.38,0.0
Pandukopa,360,19.73,0.65,0.0,0.0,0.0,49.15,12.18,0.47,0.0
Parava,467,21.5,2.74,0.0,0.0,0.0,84.08,29.12,3.58,0.0
Parcus,361,19.87,0.62,0.0,0.0,0.0,64.38,21.08,0.28,0.0
Parrot fish,375,20.82,0.57,0.0,0.0,0.0,51.79,9.21,0.38,0.0
Perinkilichai,387,20.89,0.87,0.0,0.0,0.0,34.16,7.25,0.29,0.0
Phopat,424,22.05,1.33,0.0,0.0,0.0,36.2,9.32,0.47,0.0
Piranha,549,20.46,5.43,0.0,0.0,0.0,38.97,14.85,0.5,0.0
"Pomfret, black",515,18.91,4.83,0.0,0.0,0.0,69.09,18.1,0.78,0.0
"Pomfret, snub nose",375,21.05,0.46,0.0,0.0,0.0,36.1,6.57,0.41,0.0
"Pomfret, white",513,19.02,5.12,0.0,0.0,0.0,46.09,13.64,0.31,0.0
Pranel,405,19.69,1.89,0.0,0.0,0.0,52.37,21.88,0.41,0.0
Pulli paarai,399,20.06,1.55,0.0,0.0,0.0,58.56,21.84,0.35,0.0
Queen fish,400,20.97,1.17,0.0,0.0,0.0,48.93,5.75,0.49,0.0
Raai fish,430,21.61,1.69,0.0,0.0,0.0,47.62,11.09,0.46,0.0
Raai vanthu,410,19.39,2.17,0.0,0.0,0.0,50.83,8.72,0.36,0.0
Rani,377,18.83,1.49,0.0,0.0,0.0,63.17,37.9,0.87,0.0
"Ray fish, bow head, spotted",349,19.03,0.7,0.0,0.0,0.0,105.0,9.64,0.25,0.0
Red snapper,437,22.79,1.34,0.0,0.0,0.0,59.89,8.39,0.37,0.0
"Red snapper, small",451,21.5,2.3,0.0,0.0,0.0,38.97,17.43,0.57,0.0
Sadaya,462,20.68,2.97,0.0,0.0,0.0,49.41,9.08,0.47,0.0
Salmon,721,20.97,9.86,0.0,0.0,0.0,20.25,24.3,0.98,0.0
Sangada,443,20.26,2.67,0.0,0.0,0.0,77.82,7.9,0.99,0.0
Sankata paarai,434,21.87,1.68,0.0,0.0,0.0,22.33,6.03,0.99,0.0
Sardine,637,17.91,8.99,0.0,0.0,0.0,38.49,42.26,0.83,0.0
Shark,398,21.6,0.83,0.0,0.0,0.0,63.63,8.44,0.38,0.0
"Shark, hammer head",432,23.4,0.8,0.0,0.0,0.0,53.55,7.92,0.86,0.0
"Shark, spotted",384,20.95,0.75,0.0,0.0,0.0,131.0,8.1,0.54,0.0
Shelavu,446,22.46,1.74,0.0,0.0,0.0,38.73,11.42,0.52,0.0
Silan,633,22.72,6.68,0.0,0.0,0.0,29.39,28.82,0.56,0.0
Silk fish,408,20.65,1.53,0.0,0.0,0.0,41.57,10.46,0.3,0.0
Silver carp,555,21.71,5.17,0.0,0.0,0.0,19.6,85.55,0.58,0.0
Sole fish,367,19.05,1.18,0.0,0.0,0.0,74.57,47.28,0.33,0.0
Stingray,408,23.98,0.68,0.0,0.0,0.0,64.14,9.16,0.74,0.0
Tarlava,414,21.72,1.2,0.0,0.0,0.0,67.4,11.68,0.53,0.0
Tholam,432,20.78,2.13,0.0,0.0,0.0,28.0,11.4,0.6,0.0
Tilapia,349,18.48,1.08,0.0,0.0,0.0,52.55,99.39,2.84,0.0
Tuna,470,24.5,1.44,0.0,0.0,0.0,52.89,9.82,1.6,0.0
"Tuna, striped",403,21.28,1.12,0.0,0.0,0.0,22.6,6.45,1.43,0.0
Valava,410,21.8,1.06,0.0,0.0,0.0,91.91,37.06,0.24,0.0
Vanjaram,570,22.28,5.18,0.0,0.0,0.0,34.85,9.85,0.41,0.0
Vela meen,537,22.16,4.34,0.0,0.0,0.0,38.15,14.9,0.64,0.0
Vora,422,20.14,2.14,0.0,0.0,0.0,43.66,7.64,0.27,0.0
Whale shark,401,21.83,0.82,0.0,0.0,0.0,116.0,8.32,0.33,0.0
Xiphinis,370,19.82,0.88,0.0,0.0,0.0,66.21,12.08,0.54,0.0
"Eggs, Cat fish",600,24.68,5.28,0.0,0.0,0.0,54.83,61.69,6.65,0.0
Crab,343,10.23,1.41,0.0,0.0,0.0,244.0,128.0,1.1,0.0
"Crab, sea",283,15.36,0.6,0.0,0.0,0.0,313.0,333.0,0.98,0.0
"Lobster, brown",292,15.96,0.56,0.0,0.0,0.0,140.0,73.06,0.77,0.0
"Lobster, king siz e",375,18.54,0.78,0.0,0.0,0.0,191.0,66.44,0.35,0.0
Mud crab,190,10.0,0.55,0.0,0.0,0.0,305.0,201.0,0.87,0.0
Oyster,252,9.51,2.44,0.0,0.0,0.0,41.01,126.0,0.9,0.0
"Tiger prawns, brown",273,14.85,0.56,0.0,0.0,0.0,188.0,37.81,0.73,0.0
"Tiger Prawns, orange",270,14.25,0.74,0.0,0.0,0.0,61.05,71.89,0.39,0.0
"Clam, green shell",243,12.14,0.98,0.0,0.0,0.0,322.0,121.0,1.01,0.0
"Clam, white shell, ribbed",250,11.82,1.34,0.0,0.0,0.0,404.0,50.0,0.94,0.0
Octopus,334,14.71,1.12,0.0,0.0,0.0,230.0,22.1,1.08,0.0
"Squid, black",335,16.1,1.07,0.0,0.0,0.0,179.0,22.98,0.5,0.0
"Squid, hard shell",320,16.82,0.93,0.0,0.0,0.0,99.14,8.73,0.62,0.0
"Squid, red",329,16.25,1.44,0.0,0.0,0.0,121.0,14.15,0.26,0.0
"Squid, white, small",353,17.41,1.15,0.0,0.0,0.0,154.0,36.46,0.39,0.0
Cat fish,518,15.86,6.24,0.0,0.0,0.0,28.29,21.99,0.82,0.0
Catla,394,17.94,2.15,0.0,0.0,0.0,36.56,43.53,1.14,0.0
Freshwater Eel,451,20.41,2.63,0.0,0.0,0.0,88.67,52.99,1.54,0.0
Gold fish,396,16.91,2.94,0.0,0.0,0.0,27.53,47.89,0.76,0.0
Pangas,852,17.12,16.77,0.0,0.0,0.0,37.42,11.19,0.69,0.0
Rohu,428,19.71,2.39,0.0,0.0,0.0,35.56,39.37,1.04,0.0
Crab,327,13.23,0.89,0.0,0.0,0.0,280.0,199.0,1.1,0.0
"Prawns, big",380,19.24,0.52,0.0,0.0,0.0,849.0,48.55,0.78,0.0
"Prawns, small",297,13.07,0.78,0.0,0.0,0.0,77.71,67.99,0.87,0.0
Tiger prawns,284,14.24,0.66,0.0,0.0,0.0,80.77,57.9,0.84,0.0
Coconut oil,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corn oil,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cotton seed oil,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gingelly oil,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Groundnut oil,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mustard oil,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Palm oil,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rice bran oil,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Safflower oil,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Safflower oil (blended),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soyabean oil,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sunflower oil,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ghee,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vanaspati,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
